country_id	country_name	country_name_url_encoded	city_id	city_name	city_name_url_encoded	city_url_full	city_url	country_url_full	country_url	city_name_to_lower	country_name_to_lower	country_code	name	asciiname	admin1_code	admin2_code	population	lat	lng
3	Albania	Albania	17	Durres	Durres	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Durres	city_result.jsp?country=Albania&city=Durres	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	durres	albania	AL	Durrës	Durres	42	03	122034	41.32355	19.45469
3	Albania	Albania	18	Elbasan	Elbasan	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Elbasan	city_result.jsp?country=Albania&city=Elbasan	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	elbasan	albania	AL	Elbasan	Elbasan	43		100903	41.1125	20.08222
3	Albania	Albania	19	Fier	Fier	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Fier	city_result.jsp?country=Albania&city=Fier	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	fier	albania	AL	Fier	Fier	44		56297	40.72389	19.55611
3	Albania	Albania	20	Fierze	Fierze	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Fierze	city_result.jsp?country=Albania&city=Fierze	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	fierze	albania	AL	Fierzë	Fierze	49	19	0	42.26056	20.01694
3	Albania	Albania	21	Fushe-kruje	Fushe-kruje	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Fushe-kruje	city_result.jsp?country=Albania&city=Fushe-kruje	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	fushe-kruje	albania	AL	Fushë-Krujë	Fushe-Kruje	42	10	10458	41.47833	19.71778
3	Albania	Albania	22	Gramsh	Gramsh	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Gramsh	city_result.jsp?country=Albania&city=Gramsh	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	gramsh	albania	AL	Gramsh	Gramsh	43	07	11556	40.86972	20.18444
3	Albania	Albania	23	Kamez (Kamze)	Kamez%20%28Kamze%29	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Kamez%20%28Kamze%29	city_result.jsp?country=Albania&city=Kamez%20%28Kamze%29	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	kamez (kamze)	albania	AL	NA	NA	NA	NA	NA	NA	NA
3	Albania	Albania	24	Kelcyre	Kelcyre	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Kelcyre	city_result.jsp?country=Albania&city=Kelcyre	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	kelcyre	albania	AL	Këlcyrë	Kelcyre	45	17	4900	40.31306	20.18944
3	Albania	Albania	25	Korce	Korce	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Korce	city_result.jsp?country=Albania&city=Korce	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	korce	albania	AL	Korçë	Korce	46	09	58259	40.61861	20.78083
3	Albania	Albania	26	Kruje	Kruje	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Kruje	city_result.jsp?country=Albania&city=Kruje	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	kruje	albania	AL	Krujë	Kruje	42	10	21286	41.50917	19.79278
