country_id	city_id	country_name	city_name	city_name_url_encoded	country_name_url_encoded	city_url_full	city_url	country_url_full	country_url_part
222	6088	United States	Anchorage, AK	Anchorage%2C%20AK	Anchorage%2C%20AK	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20States&city=Anchorage%2C%20AK	city_result.jsp?country=United%20States&city=Anchorage%2C%20AK	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20States	country_result.jsp?country=United%20States
106	3079	Japan	Tokyo	Tokyo	Tokyo	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Japan&city=Tokyo	city_result.jsp?country=Japan&city=Tokyo	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Japan	country_result.jsp?country=Japan
122	3346	Luxembourg	Luxembourg	Luxembourg	Luxembourg	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Luxembourg&city=Luxembourg	city_result.jsp?country=Luxembourg&city=Luxembourg	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Luxembourg	country_result.jsp?country=Luxembourg
222	6958	United States	Oakland, CA	Oakland%2C%20CA	Oakland%2C%20CA	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20States&city=Oakland%2C%20CA	city_result.jsp?country=United%20States&city=Oakland%2C%20CA	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20States	country_result.jsp?country=United%20States
222	7188	United States	Seattle, WA	Seattle%2C%20WA	Seattle%2C%20WA	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20States&city=Seattle%2C%20WA	city_result.jsp?country=United%20States&city=Seattle%2C%20WA	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20States	country_result.jsp?country=United%20States
222	6207	United States	Boston, MA	Boston%2C%20MA	Boston%2C%20MA	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20States&city=Boston%2C%20MA	city_result.jsp?country=United%20States&city=Boston%2C%20MA	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20States	country_result.jsp?country=United%20States
14	199	Australia	Darwin	Darwin	Darwin	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Australia&city=Darwin	city_result.jsp?country=Australia&city=Darwin	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Australia	country_result.jsp?country=Australia
14	279	Australia	Sydney	Sydney	Sydney	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Australia&city=Sydney	city_result.jsp?country=Australia&city=Sydney	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Australia	country_result.jsp?country=Australia
17	355	Bahamas	Nassau	Nassau	Nassau	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Bahamas&city=Nassau	city_result.jsp?country=Bahamas&city=Nassau	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Bahamas	country_result.jsp?country=Bahamas
195	5040	South Korea	Seoul	Seoul	Seoul	https://www.numbeo.com/cost-of-living/city_result.jsp?country=South%20Korea&city=Seoul	city_result.jsp?country=South%20Korea&city=Seoul	https://www.numbeo.com/cost-of-living/country_result.jsp?country=South%20Korea	country_result.jsp?country=South%20Korea
222	7068	United States	Queens, NY	Queens%2C%20NY	Queens%2C%20NY	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20States&city=Queens%2C%20NY	city_result.jsp?country=United%20States&city=Queens%2C%20NY	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20States	country_result.jsp?country=United%20States
202	5300	Sweden	Stockholm	Stockholm	Stockholm	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Sweden&city=Stockholm	city_result.jsp?country=Sweden&city=Stockholm	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Sweden	country_result.jsp?country=Sweden
129	3485	Malta	Valletta	Valletta	Valletta	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Malta&city=Valletta	city_result.jsp?country=Malta&city=Valletta	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Malta	country_result.jsp?country=Malta
147	3777	Netherlands	Amsterdam	Amsterdam	Amsterdam	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Netherlands&city=Amsterdam	city_result.jsp?country=Netherlands&city=Amsterdam	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Netherlands	country_result.jsp?country=Netherlands
221	5917	United Kingdom	London	London	London	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20Kingdom&city=London	city_result.jsp?country=United%20Kingdom&city=London	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20Kingdom	country_result.jsp?country=United%20Kingdom
14	253	Australia	Newcastle	Newcastle	Newcastle	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Australia&city=Newcastle	city_result.jsp?country=Australia&city=Newcastle	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Australia	country_result.jsp?country=Australia
100	2665	Ireland	Dublin	Dublin	Dublin	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Ireland&city=Dublin	city_result.jsp?country=Ireland&city=Dublin	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Ireland	country_result.jsp?country=Ireland
100	2660	Ireland	Cork	Cork	Cork	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Ireland&city=Cork	city_result.jsp?country=Ireland&city=Cork	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Ireland	country_result.jsp?country=Ireland
188	4848	Singapore	Singapore	Singapore	Singapore	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Singapore&city=Singapore	city_result.jsp?country=Singapore&city=Singapore	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Singapore	country_result.jsp?country=Singapore
106	3066	Japan	Osaka	Osaka	Osaka	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Japan&city=Osaka	city_result.jsp?country=Japan&city=Osaka	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Japan	country_result.jsp?country=Japan
