country_id	country_name	country_name_url_encoded	country_url_full	country_url_part
49	Cook Islands	Cook%20Islands	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Cook%20Islands	country_result.jsp?country=Cook%20Islands
50	Costa Rica	Costa%20Rica	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Costa%20Rica	country_result.jsp?country=Costa%20Rica
51	Croatia	Croatia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Croatia	country_result.jsp?country=Croatia
52	Cuba	Cuba	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Cuba	country_result.jsp?country=Cuba
53	Curacao	Curacao	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Curacao	country_result.jsp?country=Curacao
54	Cyprus	Cyprus	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Cyprus	country_result.jsp?country=Cyprus
55	Czech Republic	Czech%20Republic	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Czech%20Republic	country_result.jsp?country=Czech%20Republic
56	Denmark	Denmark	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Denmark	country_result.jsp?country=Denmark
57	Djibouti	Djibouti	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Djibouti	country_result.jsp?country=Djibouti
58	Dominica	Dominica	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Dominica	country_result.jsp?country=Dominica
59	Dominican Republic	Dominican%20Republic	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Dominican%20Republic	country_result.jsp?country=Dominican%20Republic
60	Ecuador	Ecuador	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Ecuador	country_result.jsp?country=Ecuador
61	Egypt	Egypt	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Egypt	country_result.jsp?country=Egypt
62	El Salvador	El%20Salvador	https://www.numbeo.com/cost-of-living/country_result.jsp?country=El%20Salvador	country_result.jsp?country=El%20Salvador
63	Equatorial Guinea	Equatorial%20Guinea	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Equatorial%20Guinea	country_result.jsp?country=Equatorial%20Guinea
64	Eritrea	Eritrea	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Eritrea	country_result.jsp?country=Eritrea
65	Estonia	Estonia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Estonia	country_result.jsp?country=Estonia
66	Ethiopia	Ethiopia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Ethiopia	country_result.jsp?country=Ethiopia
67	Falkland Islands	Falkland%20Islands	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Falkland%20Islands	country_result.jsp?country=Falkland%20Islands
68	Faroe Islands	Faroe%20Islands	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Faroe%20Islands	country_result.jsp?country=Faroe%20Islands
69	Fiji	Fiji	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Fiji	country_result.jsp?country=Fiji
70	Finland	Finland	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Finland	country_result.jsp?country=Finland
71	France	France	https://www.numbeo.com/cost-of-living/country_result.jsp?country=France	country_result.jsp?country=France
72	French Guiana	French%20Guiana	https://www.numbeo.com/cost-of-living/country_result.jsp?country=French%20Guiana	country_result.jsp?country=French%20Guiana
73	French Polynesia	French%20Polynesia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=French%20Polynesia	country_result.jsp?country=French%20Polynesia
74	French Southern Territories	French%20Southern%20Territories	https://www.numbeo.com/cost-of-living/country_result.jsp?country=French%20Southern%20Territories	country_result.jsp?country=French%20Southern%20Territories
75	Gabon	Gabon	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Gabon	country_result.jsp?country=Gabon
76	Gambia	Gambia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Gambia	country_result.jsp?country=Gambia
77	Georgia	Georgia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Georgia	country_result.jsp?country=Georgia
78	Germany	Germany	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Germany	country_result.jsp?country=Germany
79	Ghana	Ghana	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Ghana	country_result.jsp?country=Ghana
80	Gibraltar	Gibraltar	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Gibraltar	country_result.jsp?country=Gibraltar
81	Greece	Greece	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Greece	country_result.jsp?country=Greece
82	Greenland	Greenland	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Greenland	country_result.jsp?country=Greenland
83	Grenada	Grenada	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Grenada	country_result.jsp?country=Grenada
84	Guadeloupe	Guadeloupe	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Guadeloupe	country_result.jsp?country=Guadeloupe
85	Guam	Guam	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Guam	country_result.jsp?country=Guam
